Name,Ranking,usnews.com link,Tuition and Fees,Room and Board,Total Enrollment,School Type,Year Founded,Religiious Affiliation,Academic Calendar,Setting,2018 Endowment,Median starting salary of alumni,Acceptance_rate,student faculty ratio,Student_faculty_ratio,4-year graduation rate,Class sizes <20,Class sizes 20-49,Class sizes >50,Male,Female,,National Liberal Arts Colleges,Best Undergraduate Teaching,Best Value Schools,Most Innovative Schools,Top Performers on Social Mobility,First-Year Experiences,Learning Communities,Senior Capstone,Writing in the Disciplines,Study Abroad,Undergraduate Research/Creative Projects,,Average annual cost,Estimated cost of books and supplies,Estimated transportation cost,Estimated personal expenses,Average need based scholarship or grant award,Students who applied for need-based financial aid,Students determined to have financial need,Students whose need was fully met,Average need-based financial aid package (freshman),Students who received need-based financial aid,Average need-based scholarship or grant award (freshmen),Students who received need-based scholarship or grant aid (freshmen),Average need-based self-help aid award (freshmen),Students who received need-based self-help aid (freshmen),"Average need-based loan (excluding PLUS, unsubsidized, or other private loans)",Average percent of need met,Average non-need-based scholarship or grant award (freshmen),Average non-need-based athletic scholarship or grant award (freshmen),Student-faculty ratio,International full-time,International part-time,Ph.D or terminal degree,Minority full-time,Minority part-time,Full-time faculty,Part-time faculty,Full-time faculty male,Full-time faculty female,Part-time faculty male,Part-time faculty female,Number of majors,Freshmen_retention,International student retention,2017-2018 Employed Graduates Full-time,,Total undergraduate enrollment,Undergraduates who are first generation,Out-of-state students,International students,Registered clubs and organizations,Number of sports,,Peer_assessment,First_year_top_ten,Social Mobility rank
Union College,45,https://www.usnews.com/best-colleges/union-college-new-york-2889,"$57,324","$14,061",2206,"Private, Coed",1795,None,Trimester,City,"$456,500,000.00","$56,900",39%,10,10:01,84.00%,57.90%,41%,1%,54%,46%,,45,,82,43,127,,,,,,,,"$32,720","$1,500",N/A,$525,"$39,942",66%,55%,100%,"$45,762",55%,"$39,942",55%,"$5,659",52%,"$4,220",100%,"$14,500",N/A,10:01,2%,0%,97%,16%,3%,211,30,57.30%,42.70%,53.30%,46.70%,46,93%,N/A,56%,,2206,13%,60%,8.70%,101,12,,3.4,61%,127
Berea College,46,https://www.usnews.com/best-colleges/berea-college-1955,,6966,1673,"Private, Coed",1855,None,Semester,Rural,"$1,200,000,000.00","$37,500",38%,10,10:01,48%,79.30%,20.30%,0%,42%,58%,,46,8,,2,14,4,,28,,,,,"$1,298",$0,$0,$0,"$45,984",100%,100%,N/A,"$47,981",100%,"$45,984",100%,"$1,996",100%,$571,96%,N/A,N/A,10:01,5%,0%,93%,13%,22%,137,54,50.40%,49.60%,38.90%,61.10%,44,83%,100%,N/A,,1673,41%,55%,7.50%,86,0,,3.5,22%,14
Connecticut College,46,https://www.usnews.com/best-colleges/connecticut-college-1379,"$56,870",15720,1844,"Private, Coed",1911,None,Semester,City,"$315,200,000.00","$51,900",38%,9,9:01,78.00%,74.90%,24%,1%,39%,61%,,46,25,71,27,148,,,,,,,,"$30,244","$1,000",$400,$600,"$42,713",70%,57%,100%,"$45,065",57%,"$42,713",57%,"$4,731",47%,"$3,337",100%,"$6,494",N/A,9:01,94%,90%,94%,20%,10%,172,61,46.50%,53.50%,49.20%,50.80%,43,90%,90%,N/A,,1844,14%,81%,7.30%,114,16,,3.6,49%,148
DePauw University,46,https://www.usnews.com/best-colleges/depauw-university-1792,"$51,146",13400,2156,"Private, Coed",1837,None,04-01-04,Rural,"$730,800,000.00","$53,400",63%,9,9:01,81%,68%,32%,0%,47%,53%,,46,60,44,50,148,88,,,,,,,"$22,323","$1,000",$500,"$1,000","$40,869",78%,64%,27%,"$44,329",64%,"$40,869",64%,"$4,402",50%,"$3,131",90%,"$24,786",N/A,9:01,12%,3%,100%,22%,15%,218,39,54.60%,45.40%,48.70%,51.30%,46,92%,N/A,N/A,,2156,16%,57%,11.50%,111,14,,3.5,45%,148
Dickinson College,46,https://www.usnews.com/best-colleges/dickinson-college-3253,"$56,498","$14,176",2399,"Private, Coed",1783,None,Semester,Suburban,"$437,500,000.00","$51,500",49%,9,9:01,81%,75.50%,24.50%,0%,42%,58%,,46,35,60,,179,58,,,,7,,,"$28,464","$1,250",$300,"$1,530","$42,448",75%,68%,94%,"$48,652",68%,"$42,448",68%,"$5,935",60%,"$4,111",100%,"$12,685",N/A,9:01,4%,11%,95%,15%,13%,223,62,48.90%,51.10%,53.20%,46.80%,45,91%,94%,64%,,2399,12%,77%,13.80%,138,15,,3.5,41%,179
Furman University,46,https://www.usnews.com/best-colleges/furman-university-3434,"$50,844",13034,2933,"Private, Coed",1826,None,Semester,Suburban,"$702,900,000.00","$47,700",61%,10,10:01,74.00%,66.60%,33%,0%,41%,59%,,46,12,99,5,207,51,,,,,34,,"$27,508",$810,"$1,070",$900,"$30,222",72%,49%,44%,"$40,488",49%,"$30,222",49%,"$3,351",33%,"$3,342",83%,"$18,616","$46,846",10:01,3%,0%,98%,16%,11%,251,79,61%,39%,43%,57%,54,91%,N/A,36%,,2754,12%,68%,3.50%,150,12,,3.6,41%,207
Trinity College,46,https://www.usnews.com/best-colleges/trinity-college-1414,"$59,050",15300,2235,"Private, Coed",1823,Undenominational,Semester,Urban,"$621,200,000.00","$55,400",34%,9,9:01,78.00%,72.10%,28%,0%,50%,50%,,46,51,49,,194,,,,,,,,"$31,808","$1,000",$500,"$1,100","$48,334",56%,49%,100%,"$50,612",49%,"$48,334",49%,"$4,271",26%,"$3,133",100%,"$58,374",N/A,9:01,11%,36%,95%,10%,29%,221,77,54.80%,45.20%,48.10%,51.90%,44,90%,92%,N/A,,2182,18%,82%,13.10%,158,14,,3.6,46%,194
Whitman College,46,https://www.usnews.com/best-colleges/whitman-college-3803,"$53,820",13512,1475,"Private, Coed",1883,None,Semester,Rural,"$561,000,000.00","$49,000",50%,9,9:01,81.00%,68.30%,32%,0%,42%,58%,,46,,79,,210,,,,,,,,"$43,488","$1,400",N/A,$800,"$36,323",67%,48%,25%,"$40,842",48%,"$36,323",48%,"$5,933",38%,"$3,361",92%,"$13,429",N/A,9:01,8%,2%,92%,20%,10%,167,42,56.30%,43.70%,40.50%,59.50%,48,93%,92%,N/A,,1475,12%,70%,7.70%,100,9,,3.5,52%,210
Centre College,53,https://www.usnews.com/best-colleges/centre-college-1961,"$43,000",10740,1434,"Private, Coed",1819,Presbyterian,04-01-04,City,"$323,600,000.00","$48,600",73%,10,10:01,80.00%,57.80%,42.20%,0%,49%,51%,,53,16,38,43,132,,,,,26,,,"$23,237","$1,400",$700,"$1,070","$34,341",87%,63%,34%,"$36,992",63%,"$34,341",63%,"$4,219",40%,"$3,399",89%,"$26,378",N/A,10:01,5%,0%,99%,8%,14%,128,14,54.70%,45.30%,50%,50%,27,91%,94%,61%,,1434,20%,41%,6.50%,86,4,,3.5,55%,132
Gettysburg College,53,https://www.usnews.com/best-colleges/gettysburg-college-3268,"$56,390",13460,2433,"Private, Coed",1832,None,Semester,Suburban,"$331,200,000.00","$53,300",45%,9,9:01,79.00%,69.60%,30.10%,0%,48%,52%,,53,35,85,,169,,,,,,,,"$27,597","$1,000","$1,500","$1,210","$39,657",77%,67%,90%,"$43,629",66%,"$39,657",67%,"$4,720",57%,"$3,636",90%,"$18,024",N/A,9:01,2%,0%,98%,20%,9%,229,81,55%,45%,60.50%,39.50%,40,91%,97%,62%,,2433,14%,73%,6.30%,120,6,,3.5,62%,169
Rhodes College,53,https://www.usnews.com/best-colleges/rhodes-college-3519,"$49,198",11524,2036,"Private, Coed",1848,Presbyterian,Semester,Urban,"$359,300,000.00","$45,800",45%,10,10:01,82%,71.30%,28.70%,0%,44%,56%,,53,35,84,35,176,,,,,,,,"$25,629","$1,125","$1,129","$1,490","$32,532",90%,56%,51%,"$40,678",56%,"$32,532",56%,"$4,602",29%,"$4,572",93%,"$26,103",N/A,10:01,4%,2%,98%,18%,16%,178,45,49.40%,50.60%,60%,40%,41,91%,92%,55%,,2008,13%,71%,4.30%,133,9,,3.6,54%,176
Wabash College,53,https://www.usnews.com/best-colleges/wabash-college-1844,"$44,720","$10,500",882,"Private, Men's college",1832,None,Semester,City,"$349,700,000.00","$58,400",65%,10,10:01,66.00%,76.20%,23%,1%,100%,0%,,53,,21,,81,,,,,,,,"$21,870","$1,200",$750,"$1,600","$37,745",91%,80%,85%,"$44,742",80%,"$37,745",80%,"$5,783",67%,"$3,137",97%,"$27,193",N/A,10:01,2%,13%,100%,7%,0%,83,16,61.40%,38.60%,56.30%,43.80%,23,88%,81%,76%,,882,N/A,21%,5.70%,64,0,,3.4,29%,81
Spelman College,53,https://www.usnews.com/best-colleges/spelman-college-1594,"$29,972","$14,338",2171,"Private, Women's college",1881,None,Semester,Urban,"$389,400,000.00","$49,300",39%,11,11:01,68.00%,60.80%,39%,1%,0%,100%,,53,22,98,6,6,76,,,,32,,,"$36,740","$3,000","$3,000","$4,000","$11,706",96%,85%,50%,"$14,867",85%,"$11,706",85%,"$3,856",72%,"$3,687",32%,"$27,973",N/A,11:01,2%,7%,90%,87%,85%,177,74,26%,74%,32.40%,67.60%,33,90%,100%,24%,,2171,21%,73%,0.70%,78,0,,3.7,10%,6
Agnes Scott College,58,https://www.usnews.com/best-colleges/agnes-scott-college-1542,"$42,690",12670,1030,"Private, Women's college",1889,Presbyterian Church (USA),Semester,Urban,"$229,400,000.00","$45,200",70%,10,10:01,64.00%,70.70%,29.30%,0%,1%,99%,,58,4,25,1,2,1,3,7,15,10,27,,"$20,356","$1,000",N/A,"$1,145","$32,614",92%,81%,22%,"$37,669",81%,"$32,614",81%,"$4,075",66%,"$3,245",84%,"$29,405",N/A,10:01,2%,4%,99%,23%,31%,81,52,32.10%,67.90%,26.90%,73.10%,32,84%,82%,N/A,,996,21%,42%,6.50%,79,1,,3.4,28%,2
Lawrence University,58,https://www.usnews.com/best-colleges/lawrence-university-3856,"$49,122",10719,1472,"Private, Coed",1847,None,Trimester,City,"$339,800,000.00","$48,800",62%,8,8:01,66%,81%,18%,2%,47%,53%,,58,60,37,,113,,,,,,,,"$25,117",$900,$450,$975,"$39,106",80%,66%,57%,"$43,087",66%,"$39,106",66%,"$5,115",50%,"$3,362",95%,"$26,419",N/A,8:01,3%,0%,91%,16%,23%,173,31,53.80%,46.20%,48.40%,51.60%,38,88%,88%,57%,,1472,17%,73%,12.60%,105,9,,3.4,35%,113
St. Lawrence University,58,https://www.usnews.com/best-colleges/st-lawrence-university-2829,"$54,846",14134,2522,"Private, Coed",1856,None,Semester,Rural,"$305,700,000.00","$54,200",46%,11,11:01,76.00%,62.10%,36.70%,1%,45%,55%,,58,51,72,,169,51,,,,,,,"$27,691",$750,$400,$500,"$42,032",76%,67%,23%,"$48,350",67%,"$42,032",67%,"$4,524",50%,"$3,468",89%,"$17,642","$54,164",11:01,4%,11%,99%,12%,13%,171,45,50.30%,49.70%,40%,60%,34,90%,N/A,N/A,,2441,13%,55%,9%,110,4,,3.3,36%,169
Wheaton College,58,https://www.usnews.com/best-colleges/wheaton-college-1781,"$54,568",14096,1760,"Private, Coed",1834,None,Semester,Suburban,"$211,900,000.00","$48,400",70%,11,11:01,74.00%,64.90%,33.70%,1%,39%,61%,,58,,78,,90,88,,,,,,,"$28,005",$800,$600,"$1,400","$25,500",80%,59%,14%,"$26,971",59%,"$25,500",59%,"$3,643",45%,"$3,485",81%,"$9,872",N/A,10:01,2%,1%,93%,16%,14%,222,130,64%,36%,53.10%,46.90%,42,94%,93%,58%,,2401,N/A,73%,3.30%,96,7,,3.2,45%,90
Bard College,62,https://www.usnews.com/best-colleges/bard-college-2671,"$56,036",15876,2218,"Private, Coed",1860,None,Semester,Rural,"$152,000,000.00","$46,800",65%,9,9:01,66.00%,78.90%,21.10%,0%,40%,60%,,62,40,48,4,148,19,,18,,,,,"$26,766",$950,"$1,000",$800,"$47,022",78%,75%,25%,"$50,874",75%,"$47,022",75%,"$4,666",61%,"$6,177",81%,"$33,601",N/A,9:01,2%,4%,90%,20%,19%,156,115,58.30%,41.70%,54.80%,45.20%,6,85%,N/A,N/A,,1893,12%,N/A,11.50%,170,4,,3.5,41%,148
St. Olaf College,62,https://www.usnews.com/best-colleges/st-olaf-college-2382,"$49,710",11270,3048,"Private, Coed",1874,None,04-01-04,Rural,"$536,800,000.00","$50,400",50%,12,12:01,82.00%,50.40%,46%,3%,43%,57%,,62,51,33,35,176,,,,,14,,,"$24,250","$1,000",$400,$900,"$36,531",89%,78%,95%,"$42,972",78%,"$36,531",78%,"$4,870",70%,"$3,289",100%,"$17,556",N/A,12:01,2%,0%,97%,16%,8%,209,117,51.70%,48.30%,46.20%,53.80%,47,92%,N/A,55%,,3048,13%,53%,10%,221,11,,3.7,41%,176
Hillsdale College,64,https://www.usnews.com/best-colleges/hillsdale-college-2272,"$28,368",11390,1521,"Private, Coed",1844,Undenominational,Semester,Rural,"$668,500,000.00",,36%,9,9:01,79.00%,78.50%,21.10%,0%,52%,48%,,64,60,102,,35,,,,,,,,N/A,N/A,N/A,N/A,"$7,582",61%,55%,34%,"$18,074",55%,"$7,582",55%,"$5,688",29%,"$5,688",60%,"$16,596","$12,388",9:01,N/A,N/A,93%,N/A,N/A,143,84,75.50%,24.50%,60.70%,39.30%,38,93%,100%,62%,,1468,N/A,67%,0%,147,12,,2.5,,35
St. John College,64,https://www.usnews.com/best-colleges/st-johns-college-maryland-2092,"$35,635","$13,636",527,"Private, Coed",1696,None,Semester,City,"$122,700,000.00","$48,100",58%,7,7:01,70.00%,86.20%,13%,1%,52%,48%,,64,12,42,30,81,,,,,,,,"$26,808",$680,$350,$400,"$39,498",82%,74%,19%,"$42,396",74%,"$39,498",74%,"$4,134",52%,"$2,693",81%,"$20,850",N/A,7:01,4%,0%,88%,9%,0%,56,9,73.20%,26.80%,77.80%,22.20%,1,85%,90%,31%,,474,N/A,62%,22.60%,40,4,,3.4,22%,81
College of Wooster,66,https://www.usnews.com/best-colleges/college-of-wooster-3037,"$52,000",12250,2004,"Private, Coed",1866,None,Semester,City,"$323,500,000.00","$43,700",54%,11,11:01,70.00%,71.00%,28.60%,0%,46%,54%,,66,11,74,30,72,43,,2,,,5,,"$25,442","$1,000",$300,$600,"$36,970",85%,72%,55%,"$45,166",72%,"$36,970",72%,"$6,502",46%,"$5,246",95%,"$27,518",N/A,11:01,2%,2%,95%,17%,5%,173,41,49.10%,50.90%,51.20%,48.80%,57,87%,91%,19%,,2004,14%,65%,14.50%,125,6,,3.4,45%,72
Knox College,66,https://www.usnews.com/best-colleges/knox-college-1704,"$48,168",10068,1333,"Private, Coed",1837,None,Quarter,City,"$160,100,000.00","$49,200",74%,11,11:01,68.00%,76.30%,23.80%,0%,43%,57%,,66,60,53,,45,,,,,,,,"$22,998","$1,200",$450,"$1,000","$34,288",93%,76%,30%,"$41,039",76%,"$34,288",76%,"$4,645",76%,"$2,709",92%,"$26,951",N/A,11:01,5%,0%,96%,13%,13%,112,24,58.90%,41.10%,37.50%,62.50%,40,85%,90%,22%,,1333,28%,45%,16.80%,90,4,,3.2,32%,45
Cornell College,68,https://www.usnews.com/best-colleges/cornell-college-1856,"$43,976",9760,1028,"Private, Coed",1853,United Methodist,8 terms,Rural,"$77,700,000.00","$45,000",61%,12,12:01,68.00%,77.00%,23.00%,0%,52%,48%,,68,40,66,,1,,,,,,,,"$24,355","$1,200","$1,648","$1,727","$29,594",86%,75%,28%,"$32,551",75%,"$29,594",75%,"$4,227",54%,"$3,373",84%,"$24,840",N/A,12:01,0%,0%,97%,8%,20%,74,40,48.60%,51.40%,35%,65%,44,81%,100%,53%,,1026,20%,76%,7%,57,3,,3.1,22%,1
Reed College,68,https://www.usnews.com/best-colleges/reed-college-3217,,,,Private,N/A,None,N/A,N/A,,"$52,800",36%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,68,19,,21,138,,,,,,,,"$31,815",$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,88%,N/A,N/A,,N/A,N/A,N/A,N/A,,0,,3.8,,138
Sarah Lawrence College,68,https://www.usnews.com/best-colleges/sarah-lawrence-2813,"$57,520",16120,1709,"Private, Coed",1926,None,Semester,Suburban,"$113,800,000.00","$47,200",56%,9,9:01,63.00%,94.60%,4.40%,1%,27%,73%,,68,51,96,,169,,,,,,,,"$33,358",$600,$500,$800,"$34,556",76%,61%,23%,"$37,420",61%,"$34,556",61%,"$4,116",46%,"$2,389",78%,"$21,254",N/A,9:01,5%,31%,88%,19%,16%,111,194,54.10%,45.90%,44.80%,55.20%,1,84%,87%,N/A,,1410,11%,79%,12.40%,80,3,,3.4,33%,169
Willamette University,68,https://www.usnews.com/best-colleges/willamette-3227,"$52,074",12940,2472,"Private, Coed",1842,None,Semester,City,"$258,600,000.00","$46,300",84%,11,11:01,67.00%,76.10%,23.90%,0%,42%,58%,,68,,88,,121,,,,,,,,"$28,327",$950,N/A,N/A,"$32,791",88%,71%,15%,"$38,254",71%,"$32,791",71%,"$5,558",61%,"$3,395",80%,"$22,550",N/A,11:01,N/A,N/A,96%,20%,7%,189,74,54%,46%,50%,50%,41,86%,33%,N/A,,1808,19%,74%,0.80%,113,16,,3.2,46%,121
Hobart and William Smith College,72,https://www.usnews.com/best-colleges/hobart-and-william-2731,"$57,058",14565,2241,"Private, Coed",1822,None,Semester,City,"$232,100,000.00","$53,200",57%,10,10:01,72%,63.50%,36.50%,0%,49%,51%,,72,60,86,,148,,,,,,,,"$35,172",N/A,N/A,N/A,"$40,277",82%,67%,26%,"$43,231",67%,"$40,277",67%,"$3,856",53%,"$2,702",84%,"$21,716",N/A,10:01,2%,0%,97%,14%,5%,214,20,52.30%,47.70%,45%,55%,35,86%,91%,66%,,2229,13%,60%,5.50%,80,9,,3.3,34%,148
Kalamazoo College,72,https://www.usnews.com/best-colleges/kalamazoo-college-2275,"$50,412",10134,1467,"Private, Coed",1833,None,Quarter,City,"$241,000,000.00","$46,200",73%,13,13:01,73.00%,57.70%,42%,1%,43%,57%,,72,45,50,50,90,51,,,,3,,,"$23,579",$825,$353,"$1,452","$37,082",88%,75%,39%,"$44,862",75%,"$37,082",75%,"$5,691",57%,"$3,301",94%,"$28,109",N/A,13:01,11%,14%,96%,31%,19%,105,36,48.60%,51.40%,47.20%,52.80%,27,90%,N/A,55%,,1467,14%,33%,5.90%,76,3,,3.4,54%,90
Lewis & Clark College,72,https://www.usnews.com/best-colleges/lewis--clark-college-3197,"$52,780",13008,3396,"Private, Coed",1867,None,Semester,City,"$235,600,000.00","$46,200",74%,12,12:01,68.00%,67.20%,32%,1%,39%,61%,,72,51,89,,48,,,,,35,,,"$34,838","$1,050",$990,"$1,062","$35,207",84%,58%,36%,"$41,853",58%,"$35,207",58%,"$8,180",52%,"$3,293",84%,"$22,324",N/A,12:01,1%,3%,93%,20%,18%,213,267,46.50%,53.50%,42.30%,57.70%,27,83%,96%,52%,,2087,17%,80%,5.40%,121,9,,3.4,37%,48
Muhlenberg College,72,https://www.usnews.com/best-colleges/muhlenberg-college-3304,"$54,600",12165,2340,"Private, Coed",1848,Lutheran Church in America,Semester,Suburban,"$285,900,000.00","$49,500",62%,10,10:01,77%,74%,26%,1%,39%,61%,,72,60,93,,210,,,,,,,,"$31,014","$1,400",$530,"$1,250","$37,779",86%,72%,22%,"$41,076",72%,"$37,779",72%,"$4,545",55%,"$3,143",87%,"$16,101",N/A,10:01,1%,0%,88%,13%,14%,195,104,50.30%,49.70%,47.10%,52.90%,41,91%,91%,48%,,2340,16%,66%,3.80%,122,7,,3.1,40%,210
St. John_s College,72,https://www.usnews.com/best-colleges/st-johns-college-new-mexico-2093,"$36,410",12860,371,"Private, Coed",1696,None,Semester,City,"$78,400,000.00","$46,600",67%,7,7:01,54.00%,98.20%,1.80%,0%,56%,44%,,72,40,41,,63,,,,,,,,"$20,605",$400,$200,$400,"$35,900",100%,77%,47%,"$45,969",77%,"$35,900",77%,"$6,310",49%,"$4,468",95%,"$21,289",N/A,7:01,8%,0%,94%,2%,0%,48,3,72.90%,27.10%,66.70%,33.30%,1,77%,75%,15%,,320,N/A,87%,22.80%,47,20,,3.3,27%,63
Transylvania University,72,https://www.usnews.com/best-colleges/transylvania-university-1987,"$40,210",11140,989,"Private, Coed",1780,Christian Church (Disciples of Christ),04-04-01,Urban,"$174,600,000.00","$44,200",89%,11,11:01,72.00%,76.40%,23.60%,0%,40%,60%,,72,,62,,50,,,,,,,,"$25,405","$1,000",$750,"$1,350","$27,254",91%,79%,24%,"$30,261",79%,"$27,254",79%,"$3,935",60%,"$3,188",81%,"$19,092",N/A,11:01,2%,0%,96%,6%,18%,83,22,51.80%,48.20%,68.20%,31.80%,37,84%,N/A,N/A,,989,16%,21%,0%,69,1,,2.9,30%,50
Virginia Military Institute,72,https://www.usnews.com/best-colleges/vmi-3753,,9766,1685,"Public, Coed",1839,None,Semester,City,"$507,200,000.00","$59,000",51%,10,10:01,64.00%,76.20%,23.70%,0%,87%,13%,,72,,,,206,,,,,,,,"$19,905","$1,000",$400,"$1,500",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:01,0%,0%,97%,13%,9%,143,68,67.80%,32.20%,72.10%,27.90%,14,88%,100%,32%,,1685,15%,37%,1.90%,42,9,,3.2,20%,206
Wofford College,72,https://www.usnews.com/best-colleges/wofford-college-3457,"$45,710",13225,1608,"Private, Coed",1854,United Methodist,04-01-04,Urban,"$206,000,000.00","$47,000",64%,10,10:01,76.00%,63.00%,37%,0%,47%,53%,,72,,63,,108,,,,,,,,"$24,722","$1,200","$1,213","$1,280","$34,747",86%,68%,38%,"$39,226",68%,"$34,747",68%,"$1,901",37%,"$3,288",85%,"$20,337","$30,228",10:01,N/A,N/A,89%,11%,18%,148,34,56.10%,43.90%,58.80%,41.20%,27,88%,N/A,N/A,,1608,N/A,44%,1.90%,99,8,,3.2,38%,108
Earlham College,80,https://www.usnews.com/best-colleges/earlham-college-1793,"$47,380",10885,1104,"Private, Coed",1847,Friends,Semester,City,"$429,200,000.00","$47,900",65%,10,10:01,58.00%,77.80%,19.90%,2%,46%,54%,,80,25,34,35,127,,,,,26,,,"$19,454","$1,000",$700,"$1,055","$33,289",100%,91%,55%,"$41,206",91%,"$33,289",91%,"$4,408",73%,"$4,164",90%,"$24,511",N/A,10:01,10%,0%,93%,20%,13%,107,8,52.30%,47.70%,50%,50%,37,83%,83%,50%,,1050,23%,59%,21.90%,63,6,,3.3,40%,127
Illinois Wesleyan University,80,https://www.usnews.com/best-colleges/illinois-wesleyan-university-1696,"$50,026","$11,412",1693,"Private, Coed",1850,None,04-04-01,Suburban,"$233,800,000.00","$52,300",59%,11,11:01,75.00%,70.20%,28%,2%,48%,52%,,80,,81,,113,,,,,,,,"$26,976",$800,$0,"$1,600","$33,749",93%,78%,24%,"$40,150",78%,"$33,749",78%,"$6,134",61%,"$4,340",87%,"$26,445",N/A,11:01,4%,0%,95%,5%,7%,130,85,55.40%,44.60%,44.70%,55.30%,43,92%,83%,55%,,1693,18%,16%,5.60%,210,5,,3.1,34%,113
Allegheny College,82,https://www.usnews.com/best-colleges/allegheny-college-3230,"$49,260","$12,640",1771,"Private, Coed",1815,United Methodist,Semester,Suburban,"$220,800,000.00","$44,600",64%,11,11:01,66.00%,68.10%,31%,1%,45%,55%,,82,19,46,43,56,22,,20,,,23,,"$22,927","$1,000","$1,500","$1,000","$39,112",91%,82%,33%,"$45,564",82%,"$39,112",82%,"$5,082",66%,"$3,491",92%,"$29,497",N/A,11:01,3%,2%,91%,14%,4%,145,48,46.20%,53.80%,50%,50%,31,82%,90%,45%,,1771,22%,49%,3.60%,101,8,,3.2,28%,56
Beloit College,82,https://www.usnews.com/best-colleges/beloit-college-3835,"$51,532","$9,360",1275,"Private, Coed",1846,None,Semester,City,"$160,900,000.00","$43,400",56%,10,10:01,72%,72%,28%,0%,45%,55%,,82,22,64,,72,31,,,,,,,"$13,972","$1,000",$0,"$1,352","$38,277",77%,71%,30%,"$48,877",71%,"$38,277",71%,"$8,791",57%,"$6,825",95%,"$34,507",N/A,10:01,3%,0%,95%,22%,6%,117,18,41.90%,58.10%,61.10%,38.90%,47,84%,N/A,N/A,,1275,19%,84%,17.50%,117,4,,3.1,15%,72
College of St. Benedict,82,https://www.usnews.com/best-colleges/college-of-st-benedict-2341,"$46,820",11068,1782,"Private, Coed",1913,Roman Catholic,Semester,Suburban,"$78,100,000.00","$45,000",83%,12,12:01,77.00%,61.70%,37.60%,1%,0%,100%,,82,,56,,55,,,,,,,,"$25,020","$1,000",$400,"$1,500","$33,552",87%,76%,38%,"$39,195",76%,"$33,552",76%,"$5,746",75%,"$3,296",90%,"$22,006",N/A,12:01,0%,0%,91%,10%,4%,141,27,49.60%,50.40%,40.70%,59.30%,37,88%,100%,73%,,1782,21%,17%,4.40%,100,7,,3,32%,55
College of the Atlantic,82,https://www.usnews.com/best-colleges/college-of-the-atlantic-11385,"$43,542",9747,337,"Private, Coed",1969,None,Trimester,Rural,"$57,400,000.00","$43,200",67%,9,9:01,53.00%,95.70%,4%,0%,24%,76%,,82,60,9,21,25,,,,,,,,"$20,234",$600,$525,$555,"$41,454",90%,80%,68%,"$46,042",80%,"$41,454",80%,"$4,738",80%,"$3,477",98%,"$15,877",N/A,9:01,0%,4%,96%,4%,4%,27,24,59.30%,40.70%,54.20%,45.80%,127,80%,83%,N/A,,332,N/A,77%,25.40%,8,0,,2.8,35%,25
Juniata College,82,https://www.usnews.com/best-colleges/juniata-college-3279,"$47,075",12800,1433,"Private, Coed",1876,None,Semester,Rural,"$122,300,000.00","$47,500",70%,10,10:01,74%,74.60%,24.70%,1%,43%,57%,,82,,61,,90,,,,,,,,"$24,795","$1,000",$250,"$1,000","$33,956",88%,81%,24%,"$38,656",80%,"$33,956",81%,"$5,628",67%,"$4,276",87%,"$25,077",N/A,10:01,7%,11%,85%,7%,5%,124,44,51.60%,48.40%,50%,50%,67,84%,86%,26%,,1423,20%,30%,6.70%,98,10,,2.8,31%,90
Ursinus College,82,https://www.usnews.com/best-colleges/ursinus-3385,"$53,610",13120,1435,"Private, Coed",1869,None,Semester,Suburban,"$144,900,000.00","$48,800",71%,10,10:01,75.00%,74.40%,25.40%,0%,49%,51%,,82,51,77,27,99,,,,,,,,"$29,219","$1,000",$750,"$1,572","$37,891",92%,80%,26%,"$43,351",80%,"$37,891",80%,"$4,781",61%,"$3,328",83%,"$27,820",N/A,10:01,6%,0%,93%,17%,14%,122,49,41.80%,58.20%,32.70%,67.30%,29,86%,N/A,46%,,1435,19%,39%,1.70%,110,7,,3,20%,99
Wheaton College,82,https://www.usnews.com/best-colleges/wheaton-college-massachusetts-2227,"$54,568","$14,096",1760,"Private, Coed",1834,None,Semester,Suburban,"$211,900,000.00","$48,400",70%,11,11:01,74.00%,64.90%,33.70%,1%,39%,61%,,82,,68,,86,,,,,,,,"$28,005",$800,$600,"$1,400","$25,500",80%,59%,14%,"$26,971",59%,"$25,500",59%,"$3,643",45%,"$3,485",81%,"$9,872",N/A,10:01,2%,1%,93%,16%,14%,222,130,64%,36%,53.10%,46.90%,42,94%,93%,58%,,2401,N/A,73%,3.30%,96,7,,3.2,45%,90
